"Title","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"Dampak Serangan Drone Rusia di Kramatorsk Ukraina",2541,"2","2025-12-06T12:50:58.750882Z",4878,508.475,"Neutral","2025-12-06T12:50:58.751886Z"
"Warga Serang Tertipu Jasa Pembuatan SKCK di Facebook, Ternyata Palsu",2542,"2","2025-12-06T12:51:08.782233Z",4879,9.753,"Negative","2025-12-06T12:51:08.782233Z"
"Asih dan Warga Aceh Tamiang Semringah Wakapolri Datang-Beri Bantuan Makanan",2543,"2","2025-12-06T12:51:19.368784Z",4880,10.325,"Positive","2025-12-06T12:51:19.368784Z"
"Puan Pastikan DPR Terima Masukan Terkait Perkembangan Bencana di Sumatra",2544,"2","2025-12-06T12:51:25.408700Z",4881,5.799,"Neutral","2025-12-06T12:51:25.408700Z"
"Video: 2 Mobil Wisatawan Tersesat gegara Google Maps di Gunung Pancar Bogor",2545,"2","2025-12-06T12:51:34.062452Z",4882,8.415,"Negative","2025-12-06T12:51:34.063454Z"
"Dirjen Adwil Turun ke Rembele, Pastikan Bantuan Cepat Tersalur",2546,"2","2025-12-06T12:51:42.439077Z",4883,8.138,"Positive","2025-12-06T12:51:42.439077Z"
"Terima Suap Rp 14,7 M, Eks Ketua PN Jaksel Divonis 12,5 Tahun Penjara",2547,"2","2025-12-06T12:51:51.431607Z",4884,8.759,"Negative","2025-12-06T12:51:51.432610Z"
"Puan Dorong Evaluasi Bantuan Lewat Helikopter, Ingatkan Pejabat Harus Empati",2548,"2","2025-12-06T12:51:57.980331Z",4885,6.311,"Neutral","2025-12-06T12:51:57.980331Z"
"KSPSI Beri Penghargaan Pahlawan Pekerja kepada Marsinah",2549,"2","2025-12-06T12:52:05.803730Z",4886,7.577,"Positive","2025-12-06T12:52:05.803730Z"
"Penangkapan Gembong Narkotika Rp 5 T, Waka MPR: Spektakuler!",2550,"2","2025-12-06T12:52:14.311508Z",4887,8.28,"Positive","2025-12-06T12:52:14.311508Z"
"Lawan Arah hingga Baku Hantam, Driver Ojol di Jakbar Dinonaktifkan",2551,"2","2025-12-06T12:52:27.641346Z",4888,13.097,"Positive","2025-12-06T12:52:27.641346Z"
"Video: Gus Yahya Respons Isu Dugaan TPPU Rp 100 Miliar",2552,"2","2025-12-06T12:52:34.482593Z",4889,6.604,"Neutral","2025-12-06T12:52:34.482593Z"
"Perjuangan Ibu di Sumbar Terus Peluk Anak Saat Terseret Banjir Bandang",2553,"2","2025-12-06T12:52:43.507219Z",4890,8.794,"Positive","2025-12-06T12:52:43.507219Z"
"Panja RUU DPR Serap Aspirasi UPT Kehutanan Sumsel, Soroti Pembalakan Liar",2554,"2","2025-12-06T12:52:54.357346Z",4891,10.612,"Neutral","2025-12-06T12:52:54.357346Z"
"Sungai Ombilin Sumbar Membiru Bak di Swiss Meski Banjir, Jadi Tontonan Warga",2555,"2","2025-12-06T12:53:00.946557Z",4892,6.336,"Positive","2025-12-06T12:53:00.946557Z"
"Komisi IV DPR Minta Pemerintah Evaluasi Skema Pemanfaatan Kawasan Hutan",2556,"2","2025-12-06T12:53:11.517320Z",4893,10.338,"Positive","2025-12-06T12:53:11.517320Z"
"Kelangkaan LPG-BBM Lumpuhkan Layanan Publik, Anggota DPR Minta Aksi Cepat",2557,"2","2025-12-06T12:53:19.201528Z",4894,7.451,"Negative","2025-12-06T12:53:19.201528Z"
"Mobil Tabrak Pembatas Jalan di Bogor, Lalin Sempat Tersendat",2558,"2","2025-12-06T12:53:24.739225Z",4895,5.306,"Negative","2025-12-06T12:53:24.739225Z"
"Video: Gus Yahya Tetap Pertahanankan Posisi Ketum PBNU, Siap Tempuh Jalur Hukum",2559,"2","2025-12-06T12:53:31.212291Z",4896,6.241,"Neutral","2025-12-06T12:53:31.212291Z"
"Video Pemprov DKI Jakarta-Sulsel Kirim Dana Bantuan untuk Aceh, Sumut, Sumbar",2560,"2","2025-12-06T12:53:37.968715Z",4897,6.527,"Neutral","2025-12-06T12:53:37.968715Z"
"Puan Sebut DPR Siap Sinergi Evaluasi Penyebab Bencana Aceh-Sumatera",2561,"2","2025-12-06T12:53:42.584268Z",4898,4.37,"Neutral","2025-12-06T12:53:42.584268Z"
"Polda Riau Kirim Kontainer ke Sumbar untuk Simpan Jasad Korban Bencana",2562,"2","2025-12-06T12:53:54.470717Z",4899,11.642,"Neutral","2025-12-06T12:53:54.470717Z"
"Puan-Ketua MPR China Bertemu, Bahas Bencana Alam hingga Konflik Global",2563,"2","2025-12-06T12:54:01.718689Z",4900,7.007,"Neutral","2025-12-06T12:54:01.718689Z"
"Polisi Umumkan Hasil Tes DNA Kerangka Diduga Bocah Alvaro Besok",2564,"2","2025-12-06T12:54:07.272331Z",4901,5.311,"Negative","2025-12-06T12:54:07.272331Z"
"Waka MPR: Perdagangan Manusia Adalah Pengkhianatan Cita-cita Bangsa",2565,"2","2025-12-06T12:54:20.552174Z",4902,13.036,"Negative","2025-12-06T12:54:20.552174Z"
"Terungkap di Vonis, Hakim Terdakwa Suap Migor Terima Kardus Isi USD 1 Juta",2566,"2","2025-12-06T12:54:28.857076Z",4903,8.068,"Negative","2025-12-06T12:54:28.857076Z"
"Jadi Tamu Kehormatan, Puan Bicara Peran KADIN dalam Bangun Ekonomi Nasional",2567,"2","2025-12-06T12:54:35.124841Z",4904,6.039,"Neutral","2025-12-06T12:54:35.124841Z"
"Ragam Komentar Usai Cak Imin Ajak Tobat Nasuha karena Bencana Sumatera",2568,"2","2025-12-06T12:54:43.694149Z",4905,8.33,"Neutral","2025-12-06T12:54:43.694149Z"
"Tak Jaga Jarak Aman, Truk Tabrakan Beruntun di Tol Sedyatmo Jakut",2569,"2","2025-12-06T12:54:50.448634Z",4906,6.524,"Negative","2025-12-06T12:54:50.448634Z"
"KDMP Syariah Bilelando Jadi Harapan Baru Pembangunan Ekonomi Kerakyatan",2570,"2","2025-12-06T12:55:07.305671Z",4907,16.596,"Positive","2025-12-06T12:55:07.305671Z"
"Badan Pengkajian MPR RI Bahas Reformasi Fiskal dan Tantangan Ekonomi RI",2571,"2","2025-12-06T12:55:16.065066Z",4908,8.506,"Neutral","2025-12-06T12:55:16.065066Z"
"Video: Bak Sungai Aare Swiss Rasa Lokal? Cek Sungai Ombilin di Sumbar!",2572,"2","2025-12-06T12:55:24.984237Z",4909,8.68,"Positive","2025-12-06T12:55:24.984237Z"
"Tinjau Kampung Halaman, Andre Rosiade Beri Ribuan Sembako ke Warga Siteba",2573,"2","2025-12-06T12:55:30.980945Z",4910,5.759,"Positive","2025-12-06T12:55:30.980945Z"
"Video BNPB Update Jumlah Korban Bencana Sumatera: 770 Tewas, 463 Hilang",2574,"2","2025-12-06T12:55:36.446545Z",4911,5.232,"Negative","2025-12-06T12:55:36.446545Z"
"Hakim Pemvonis Lepas Perkara Migor Pakai Duit Suap buat Beli Fortuner-HRV",2575,"2","2025-12-06T12:55:44.637245Z",4912,7.935,"Negative","2025-12-06T12:55:44.637245Z"
"Dialog di UPI Bandung, Eddy Soeparno Terima Aspirasi soal Kurikulum Iklim",2576,"2","2025-12-06T12:56:00.171511Z",4913,15.297,"Neutral","2025-12-06T12:56:00.171511Z"
"Gus Yahya Tegaskan Masih Menjabat Ketum PBNU",2577,"2","2025-12-06T12:56:04.935737Z",4914,4.486,"Neutral","2025-12-06T12:56:04.935737Z"
"Hal Memberatkan Vonis 3 Hakim Terdakwa Suap Perkara Migor: Keserakahan",2578,"2","2025-12-06T12:56:16.732465Z",4915,11.543,"Negative","2025-12-06T12:56:16.732465Z"
"Mendagri Dorong Solidaritas Daerah Percepat Pemulihan Bencana",2579,"2","2025-12-06T12:56:27.106059Z",4916,10.126,"Neutral","2025-12-06T12:56:27.106059Z"
"Puan Terima Kunjungan Ketua MPR China, Bahas Bencana hingga Kerja Sama",2580,"2","2025-12-06T12:56:31.838195Z",4917,4.439,"Neutral","2025-12-06T12:56:31.838195Z"
"Golkar Desak Banjir Sumatera Jadi Bencana Nasional: Dampaknya Begitu Luas",2581,"2","2025-12-06T12:56:42.022789Z",4918,9.859,"Neutral","2025-12-06T12:56:42.022789Z"
"BRI Salurkan Bantuan untuk Warga Terdampak Bencana di Sumut-Sumbar",2582,"2","2025-12-06T12:56:46.837907Z",4919,4.528,"Positive","2025-12-06T12:56:46.837907Z"
"Bantuan Banjir Aceh Dipercepat Lewat Bandara Rembele",2583,"2","2025-12-06T12:56:50.862556Z",4920,3.702,"Positive","2025-12-06T12:56:50.862556Z"
"Momen Kunjungan Wakapolri Buat Haru Istri Bupati Aceh Tamiang",2584,"2","2025-12-06T12:56:59.180097Z",4921,8.07,"Neutral","2025-12-06T12:56:59.180097Z"
"Cara Ikut Lelang KPK HAKORDIA 9 Desember 2025, Cek Katalognya!",2585,"2","2025-12-06T12:57:11.087987Z",4922,11.632,"Neutral","2025-12-06T12:57:11.087987Z"
"Material Kayu Menggunung Setelah Arus Deras Menerjang Tapanuli",2586,"2","2025-12-06T12:57:16.071214Z",4923,4.634,"Negative","2025-12-06T12:57:16.071214Z"
"Kapolri: Desk Ketenagakerjaan Polri Terus Berkontribusi Selesaikan Persoalan Buruh",2587,"2","2025-12-06T12:57:22.821229Z",4924,6.479,"Neutral","2025-12-06T12:57:22.821229Z"
"Andre Rosiade Kembali Serahkan Bantuan untuk Korban Banjir Bandang Sumbar",2588,"2","2025-12-06T12:57:27.176623Z",4925,4.1,"Positive","2025-12-06T12:57:27.176623Z"
"3 Hakim Terdakwa Suap Vonis Lepas Perkara Migor Dihukum 11 Tahun Penjara!",2589,"2","2025-12-06T12:57:33.452649Z",4926,6.028,"Negative","2025-12-06T12:57:33.452649Z"
"Akhirnya Warga Cikande Bisa Pulang ke Rumah Buntut Heboh Radiasi",2590,"2","2025-12-06T12:57:40.795468Z",4927,7.099,"Negative","2025-12-06T12:57:40.795468Z"
"Gus Yahya Persilakan Proses soal Aliran Rp 100 M: Tapi Jangan Mengada-ada",2591,"2","2025-12-06T12:57:48.583002Z",4928,7.538,"Negative","2025-12-06T12:57:48.583002Z"
"Puan Minta Pemerintah Jaga Lisan-Lebih Berempati Tangani Bencana Sumatera",2592,"2","2025-12-06T12:57:54.814442Z",4929,5.994,"Neutral","2025-12-06T12:57:54.814442Z"
"Ratusan Makam Dipindahkan untuk Pembangunan Tol Yogya-Bawen",2593,"2","2025-12-06T12:58:04.181252Z",4930,9.124,"Neutral","2025-12-06T12:58:04.181252Z"
"Mendagri Jamin Beras Cukup, Minta Pemda Terdampak Bencana Koordinasi Bapanas",2594,"2","2025-12-06T12:58:24.512884Z",4931,423146.546,"Positive","2025-12-06T12:58:24.512884Z"
"Video Percepat Distribusi Logistik, BNPB Lakukan Modifikasi Cuaca di Sumatera",2595,"2","2025-12-06T12:58:36.333551Z",4932,11.207,"Positive","2025-12-06T12:58:36.333551Z"
"Prabowo Bakal Terima Kunjungan Ketua MPR China di Istana Besok",2596,"2","2025-12-06T12:58:44.680158Z",4933,7.955,"Neutral","2025-12-06T12:58:44.680158Z"
"Peringati HDI 2025, Mensos Puji Karya Disabilitas yang Semakin Berkualitas",2597,"2","2025-12-06T12:58:56.158659Z",4934,11.076,"Positive","2025-12-06T12:58:56.158659Z"
"Komisi VIII DPR Cerita Banyak Mayat Korban Banjir Sumatera Belum Terjamah",2598,"2","2025-12-06T12:59:03.463267Z",4935,6.823,"Negative","2025-12-06T12:59:03.463267Z"
"Puan Minta Evaluasi Usai Bantuan Korban Bencana Pecah Dijatuhkan dari Heli",2599,"2","2025-12-06T12:59:25.730545Z",4936,21.539,"Negative","2025-12-06T12:59:25.730545Z"
"Pemerintah Belum Tetapkan Bencana Nasional, Puan Minta Fokus Kirim Bantuan",2600,"2","2025-12-06T12:59:37.678861Z",4937,9.549,"Neutral","2025-12-06T12:59:37.678861Z"
"Dampak Siklon Ditwah Lumpuhkan Wilayah Sri Lanka",2601,"2","2025-12-06T12:59:42.493884Z",4938,4.465,"Negative","2025-12-06T12:59:42.493884Z"
"281 Tambang Emas Ilegal di TN Gunung Halimun Salak Disegel Petugas",2602,"2","2025-12-06T13:00:19.792853Z",4939,37.004,"Negative","2025-12-06T13:00:19.792853Z"
"13 Stasiun Pendaftaran Motis Nataru 2025/2026, Cek Lokasinya",2603,"2","2025-12-06T13:00:34.405037Z",4940,14.28,"Neutral","2025-12-06T13:00:34.405037Z"
"Polisi Tak Temukan Unsur Pidana Terkait Bocah Tewas di Selokan Cilegon",2604,"2","2025-12-06T13:00:42.947307Z",4941,8.2,"Negative","2025-12-06T13:00:42.947307Z"
"WamenPANRB Dorong Penguatan Ekosistem Pembelajaran ASN di Era Serba Cepat",2605,"2","2025-12-06T13:00:56.631930Z",4942,13.426,"Negative","2025-12-06T13:00:56.631930Z"
"Video Kapolri Selidiki Kayu Gelondongan: Apabila Ada Pelanggaran, Kita Proses",2606,"2","2025-12-06T13:01:02.636161Z",4943,5.722,"Negative","2025-12-06T13:01:02.636161Z"
"Bantuan Sosial Terus Berdatangan ke Posko Bencana Halim",2607,"2","2025-12-06T13:01:06.663974Z",4944,3.745,"Positive","2025-12-06T13:01:06.663974Z"
"Video Mendagri Minta Pemda Punya Anggaran Lebih Bantu Aceh, Sumut dan Sumbar",2608,"2","2025-12-06T13:01:17.558076Z",4945,10.624,"Positive","2025-12-06T13:01:17.558076Z"
"Gus Yahya Jelaskan Alasan Ganti Gus Ipul dari Sekjen PBNU",2609,"2","2025-12-06T13:01:26.278581Z",4946,8.421,"Neutral","2025-12-06T13:01:26.278581Z"
"Video: Surat Raja Charles untuk Korban Banjir Asia Selatan-Tenggara",2610,"2","2025-12-06T13:01:34.777404Z",4947,8.201,"Neutral","2025-12-06T13:01:34.777404Z"
"Jadi Ketua Dewan Penasihat KSPSI, Kapolri Komitmen Perjuangkan Hak-hak Buruh",2611,"2","2025-12-06T13:01:44.543252Z",4948,9.445,"Positive","2025-12-06T13:01:44.543252Z"
"BNPB Lanjut Modifikasi Cuaca Aceh-Sumut, Harap Percepat Pembersihan Jalur",2612,"2","2025-12-06T13:01:49.346294Z",4949,4.46,"Positive","2025-12-06T13:01:49.346294Z"
"Polda Kalsel Amankan 57 Tersangka dan Musnahkan 1,4 Kg Narkoba",2613,"2","2025-12-06T13:01:56.027154Z",4950,6.393,"Negative","2025-12-06T13:01:56.027154Z"
"Kenapa Purnama Desember Disebut Cold Moon? Ini Penjelasannya",2614,"2","2025-12-06T13:02:00.878759Z",4951,4.514,"Neutral","2025-12-06T13:02:00.878826Z"
"Komisi VIII Taksir Kerugian Bencana Sumatera Lebih Rp 200 T: Tanggung Jawab!",2615,"2","2025-12-06T13:02:06.959253Z",4952,5.794,"Negative","2025-12-06T13:02:06.959253Z"
"Komisi XIII DPR: Pemprov Tak Kuat Tangani Bencana, Perlu Tangan Pusat",2616,"2","2025-12-06T13:02:13.736151Z",4953,6.514,"Neutral","2025-12-06T13:02:13.736151Z"
"Video: Mendagri soal Kabar Kepala Daerah Menyerah Tangani Bencana",2617,"2","2025-12-06T13:02:18.932357Z",4954,4.925,"Neutral","2025-12-06T13:02:18.932357Z"
"KPK Ungkap Ada Banyak Titik Lahan Proyek Whoosh yang Diselidiki",2618,"2","2025-12-06T13:02:35.341256Z",4955,16.101,"Positive","2025-12-06T13:02:35.341256Z"
"BMKG Imbau Aceh dan Sumut Siaga Hujan Lebat Beberapa Hari ke Depan",2619,"2","2025-12-06T13:02:42.000175Z",4956,6.093,"Negative","2025-12-06T13:02:42.000175Z"
"Video: Kapolri Sebut Para Pelaku Penjarahan Minimarket di Sumut Sudah Dibebaskan",2620,"2","2025-12-06T13:02:58.333447Z",4957,16.053,"Negative","2025-12-06T13:02:58.333447Z"
"Alasan Pemerintah Belum Tetapkan Status Bencana Nasional di Sumatera",2621,"2","2025-12-06T13:03:04.450410Z",4958,5.828,"Negative","2025-12-06T13:03:04.450410Z"
"Kapolri Ajak Buruh Sinergi Jaga Kamtibmas, Dukung Kebijakan Pemerintah",2622,"2","2025-12-06T13:03:09.298069Z",4959,4.575,"Neutral","2025-12-06T13:03:09.298069Z"
"Korban Tewas Banjir Thailand Bertambah Jadi 267 Orang",2623,"2","2025-12-06T13:03:13.374286Z",4960,3.815,"Negative","2025-12-06T13:03:13.374286Z"
"Video: Suami Dewi Astutik Kaget Istrinya Terseret Kasus Sabu Rp 5 T",2624,"2","2025-12-06T13:03:20.572374Z",4961,6.942,"Negative","2025-12-06T13:03:20.572374Z"
"BNPB Koreksi Data Korban Bencana Sumatera: Meninggal 770 Orang, 463 Hilang",2625,"2","2025-12-06T13:03:27.295977Z",4962,6.442,"Negative","2025-12-06T13:03:27.295977Z"
